  ,bl,tab,nl,l,L,‘_’,d,‘.’,‘E’,‘e’,‘+’,‘-’,‘/’,‘(‘,‘)’,"‘,’",‘;’,‘!’,‘=’,‘>’,‘<’,‘{’,‘}’,‘*’,‘#’,‘u’,‘s’,‘l’,otro
0,AS0,AS0,AS0,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS2,AS2,AS2,AS2,AS2,AS2,AS1,AS1,AS1,AS1,AS2,AS2,AS1,AS1,AS1,AS1,AS1,ASE
1,AS3,AS3,AS3,AS1,AS3,AS1,AS1,AS3,AS3,AS1,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS3,AS1,AS1,AS1,ASE
2,AS10,AS10,AS10,AS10,AS10,AS1,AS1,AS1,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10,AS10
3,AS8,AS8,AS8,AS8,AS8,AS8,AS1,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,ASE
4,AS6,AS6,AS6,AS6,AS6,AS6,AS1,AS6,AS1,AS1,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,ASE
5,ASE,ASE,ASE,ASE,ASE,ASE,AS1,ASE,ASE,ASE,AS1,AS1,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
6,AS6,AS6,AS6,AS6,AS6,AS6,AS1,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6,AS6
7,ASE,ASE,ASE,ASE,ASE,ASE,AS1,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS7,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8
9,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS7,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE
10,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS9,AS8,AS8,AS8,AS8,AS8,AS8,AS8
11,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0
12,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0,AS0
13,AS1,AS1,ASa,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,AS1,ASa,AS1,AS1,AS1,AS1
14,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS1,ASE,AS5,ASE
15,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,ASE,AS5,ASE,ASE
16,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS7,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8,AS8
17,AS4,AS4,AS4,AS4,AS1,AS1,AS4,AS4,AS1,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,AS4,ASE